file_name,tagging_vitgpt2
5dec6d6e40bd4d6bb3016f05bef8c3ae.jpg,a baby sitting on a table with a toy 
5104d2b1073347a7acf5a7cc0d5e1d19.jpg,a woman holding a red and white teddy bear 
f73e688021f04f128db6f1f399244d9b.jpg,a pink rose in a white vase with flowers 
20c657d94d5b4993a2e04879c8bdcf0d.jpg,a young woman standing next to a young girl 
7defda9553cd45c0aecad952d6eb8fa0.jpg,a table with a bunch of different colored flowers 
a12476ee5f4a43fc84efe9ddcb67114d.jpg,a slice of cake on a plate with a fork 
06b7fe22f0b0481386bf6afe36a0ef2f.jpg,a yellow and orange are sitting on a table 
ca5aa312929e47d2a366a20baf5093c3.jpg,a number of kites flying in the sky 
5ba2637b597d4163a70131f93e2768be.jpg,a person is making a pizza in a kitchen 
57a5f3237ea740718afff9e357ee7d02.jpg,a mountain range with a mountain range 
d09e8246e2354d64acc014ba08f1bc46.jpg,a man is using a wrench to cut a wall 
fb5a7d26cb424f8c93228e162130e19b.jpg,a bench on a grassy area near a body of water 
5bb4a492cffe4d87884a5bcd1ee5c90c.jpg,a lake with a bunch of flowers in it 
f97e5a1f1b0541b48c56477fdb92ff31.jpg,a wooden box filled with lots of green apples 
6e447541e5de4458830c989632ccd188.jpg,a vase with flowers on a table 
1111c75ff3c2420399ef3a35c64ac415.jpg,a doughnut with sprinkles on it sitting on a table 
db9fb33240fa4cf9a89889b75349df38.jpg,three women wearing red and white are posing for a picture 
e46362fc746d497d96c7863f21a8c4a5.jpg,"a sandwich with tomatoes, lettuce, and cheese "
0a14a73f896a46009d545bd2b9960294.jpg,a woman holding a rainbow colored balloon in her hand 
03d87b233c304ffbb03a5ed5958a1576.jpg,a number of colorful kites flying in the sky 
d14c4e6c44cf463cb77a6954091b6959.jpg,two girls are sitting at a table with laptops 
574bdfcb4b434c5c87c4f0c28b0fa90a.jpg,a wooden bench in front of a building 
9ab7167032734f328a1c2b6a2d582b40.jpg,a table with a bunch of different colored balls 
3c516dc2a2934bcfa18f36d1c0b66c76.jpg,a woman holding a bowl of vegetables and a salad 
c63245f3b2d84ef999793e7a6defae29.jpg,a bird standing on top of a rock near the ocean 
017872a7a23044a8b5b1061b04fcb42a.jpg,a pan of food on a table 
0bac186a8b494b0ab51e5188d003bab5.jpg,a man holding a pair of hands while standing next to another man 
e6701c367a954086bd78c69c9f5ce0d3.jpg,a bowl of fruit and vegetables on a table 
8f228208e9664bfc9f81cbada1e54cfc.jpg,two sheep are standing in a field 
f30287c114204141b64c0520eea2d85b.jpg,a bowl of vegetables and a fork 
61edf29f2e93445cb2d7659a0161d361.jpg,two men standing next to each other in a room 
7ad97bd7d6704ed791947c700b3a1035.jpg,a flower in a vase with a flower in the middle 
620fcfc3151a4e80a4a16719bc979344.jpg,a woman sitting on a bench holding a laptop 
c940d9d3b4294893b6423a302eec6cf0.jpg,a woman in a black jacket and black pants standing in front of a building 
bb736da7b1a1453285b54c5eec843b0f.jpg,a woman in a pink dress holding a pink umbrella 
21850284946240bcb85c9d5328347674.jpg,a plate of food with a variety of foods 
b565ee262e7142d1bbaae93b089b87ad.jpg,a woman holding a pink flower in her hand 
8ea3ab854a8b40338c47a7a92163d6e4.jpg,a large mountain range with a mountain range 
a25604e0195c437fbd57c4a7ed6052ca.jpg,a black and white bird standing on a rock 
64afc7ff1d76422da5b3d3989734ba56.jpg,a bowl of fruit with a knife and a lemon 
94fc176252b34938ad98c62988db3a6c.jpg,a man and woman are sitting on a bed 
2ee3863a699d4277962b76e890e690cf.jpg,a black and white photo of a bare ground 
a62c39cd1dfc47d7af88f21998cf7156.jpg,a large building with a large clock on it 
db67dbe458564539895454ac78b2ad85.jpg,"a living room with a couch, chair, and a mirror "
59dbf352011d4e4d800129431d93134f.jpg,a young boy is eating a chocolate cake 
41fa2753754b4a378f05e8f6964ab771.jpg,a woman holding a cake with a child 
5f889e56314f455fbe8b7bf713f2b471.jpg,a woman in a black dress holding a wii remote 
616549eb149b4b22b5e6529986004a73.jpg,a small baby zebra standing in a field 
52803e5761a948d9a1fccba69e09c5ad.jpg,a person with a pair of shoes standing on a sidewalk 
d37eeee25a974381be6369a13de04f2d.jpg,a woman in a blue shirt is looking at her cell phone 
c0edfaa608254af4b07d653fbf064dc7.jpg,a street with a building and trees 
a688943ee2bc458cb1c5aace9c708692.jpg,a man in a suit standing in a hallway 
c89977c50a3144aba67ae3d2dd056366.jpg,a woman with a red and white face and a green neck tie 
6f011b5241804422ba0cae5d0491ae5f.jpg,a small table with a computer and a bicycle 
6214ee42cc7a4707b97f1ee53c0244b9.jpg,a woman in a red shirt talking on a cell phone 
4afc46d326bf43a28d571b2a2cb1c1d9.jpg,two women are sitting at a table with a cup of coffee 
a314589cac7846498aa270285ca44fa6.jpg,a girl wearing a red jacket and a red scarf 
9725b27dd62046a1bb9dd8e6b550bb07.jpg,a man wearing a tie and a shirt 
86ed89208b6b4fe6a617a6bce8046118.jpg,a small cabin with a tree and a cabin 
941e8b99c89b46a58fa8ec9b2183c227.jpg,a pizza sitting on top of a table next to a candle 
74d4d304b9574864b75ee06a8571778d.jpg,a red and white stuffed animal and a red and white stuffed animal 
d7e4d931559d44f2bcb77f47b23ba702.jpg,a rocky beach with a large rock and a mountain 
da4a38351bbf476e8d2f9847c53ff226.jpg,a green grassy field with a green plant 
30a1631b17e8441fa2cbdb89e5823291.jpg,a woman in a dress sitting on a wooden table 
6c45f033fc2344f2af34a1e3503b786c.jpg,a plate of fruit with a lemon and a grapefruit 
ab09b5cff2c94f738d8948a668db00b0.jpg,a bowl of fruit with a small amount of leaves 
fd95ae25be314fcea7ed26e8f0747849.jpg,a pink and white cake with flowers on a table 
d73324ceb5b144e8b0f63193a832fff2.jpg,a person's feet are shown with a pair of shoes 
e97835aa05fb471fafd08fb7b0a906f6.jpg,a bird flying over a blue sky 
aa8b7064b31948efb5994de2f96d9da7.jpg,a large crane is attached to a large building 
b08b617549504fddb9deceb7a79fd380.jpg,a bottle of paint and a knife on a sidewalk 
6a227e7c795a4be985339c0e39ba7410.jpg,a person on a mountain with a mountain 
d3df5764b8724aec88306dd0f1d00f91.jpg,a variety of fruits and vegetables are displayed on a table 
7e9a465451e94eba83c7117f18ce051f.jpg,a woman in a white dress is sitting at a table 
82a50bb737114399bff3c925e200d4d3.jpg,a painting of a wall with graffiti on it 
0e529403b575426ebd03e32701aeab6e.jpg,a table with a bunch of different colored vases 
90c6fa9845dd4befb692016b8b41f3a3.jpg,a man standing in front of a large city at night 
4fc75efd02224d869141016629845a8c.jpg,three women sitting on a white surface with a poster 
3ff77556b0154c7698445db30f943484.jpg,a cake with flowers on top of it 
29da657664b646fb9534d5ccb5ae1fd4.jpg,a large stone tower with a clock on top 
e54a187784284250b8b07b5f1069eadc.jpg,a woman in a bikini is holding a paddle 
ebc06b4808dc4848b4b2840ab32712a7.jpg,a close up picture of a fresh fruit and vegetable 
04ace5cfc5894fd497dcc6a9492fae9b.jpg,a glass bottle with a red splash in it 
f604cfd97058412d9c69474176ca3fc7.jpg,a woman with a black hair and a black dress 
4c9810f743004d44afe987cf7166a876.jpg,a stuffed animal laying in the grass 
3c31352ade1e43bbae583a75b9b563c3.jpg,a couple sitting on a stone wall with their feet up 
327f4611b79543a89e5bb403590e2a22.jpg,a container filled with carrots and other vegetables 
d3366eac7e2648a5a33cbb4c8493515c.jpg,a woman holding a cell phone in a room 
cf8b088bcff847789afc7837f8f3bb22.jpg,"a table with a jar of honey, a jar of mustard, a jar of apples, and a"
5a74b4c7440045c69682ee8ff0ff4157.jpg,a woman sitting at a table with a phone 
d8cffef875ee44a5becc6490519735b0.jpg,a woman is looking at a cell phone in a store 
7dc9c33a12de4d099df391f9038cb4d3.jpg,a man is working on a large machine 
2f35aa07a1a847028475e8fa3a3ed73d.jpg,a man is cutting up a large pottery block 
52feabc9f3f040f1ab7f15e41e06a028.jpg,a man standing in the middle of a snowy field 
21874b5af14845589e825b886fbb90ca.jpg,a vase filled with yellow flowers on a wooden table 
649e5b2411a249d6821cca09f5ebc236.jpg,a woman with a green plant in her hand 
e12bfebf73084c8fbd0e3636f07cab6c.jpg,a woman in a blue shirt and a black tie 
68e99adfb69c450f8ca49019c4489054.jpg,a chocolate frosted chocolate cake with a knife 
fabab24ace40469f9b5185252a5af2d7.jpg,a man in a suit and tie standing in front of a building 
503e25409f03453e81781a9574cc7f99.jpg,a man is standing in the grass with a tent 
d2057a4dea3b45efab942441f6403e11.jpg,a bowl of fruit with a bunch of leaves 
19b9732c8fb84fc99e3375cd2042129c.jpg,two men are standing on a hill with a lake 
9ae94a79e3ba4d1b899ba534d2320567.jpg,a white plate topped with a piece of cake 
648e95bb367741f2ab3a28b768011d32.jpg,a river with a bunch of water coming out of it 
be32dd3211044b78a00adbca52585538.jpg,a woman sitting on a window sill looking out 
b481481ea22243d5b0c9f44d67c1bec8.jpg,a woman is using a pencil and paper on a table 
6e660073707942a4ac30eccd66fbe85b.jpg,a bench sitting on top of a lush green field 
dc2c83123ee146498d31a2cc070c6c39.jpg,a woman is walking down a narrow path near a river 
e436e975b90146aa807685777358179e.jpg,a close up of a flower in a flower pot 
2837eb19d1594c2eb39d3e99ab699fa7.jpg,a pile of dirt and gravel on a beach 
a52da730290b44e99d74a70aac660638.jpg,a woman and a man are smiling at the camera 
77e1185e663d4612b6045b1f92f8b400.jpg,a man in a suit standing next to a door 
7fa212be0f5f4870a643e607d1f616f6.jpg,a large amount of pottery on display 
2191266ba2564843a7e30270d4137491.jpg,a nurse in a hospital gown holding a blue box 
2c0280d40e2a4ab2bbf083115318afe0.jpg,a man in a suit and tie is looking at a paper 
6111c7a70aff43968a58bdee820b3559.jpg,a large building with a clock tower on top 
f895795004584063b6dc05ba8769ef50.jpg,a crowd of people standing around a car 
3ee8d7c47d224e45b752fe4ae8f42eb1.jpg,a woman in a kitchen with a bowl of vegetables 
c37070cfa6d24b4da875ec7c675da485.jpg,two people wearing glasses and ties 
b0283d3b5a3f4d91a7a4c8c36c767c00.jpg,a woman is holding a man's hand while he looks at her 
14830bde466447e9936ce6c1920fe4b0.jpg,a city with a lot of trees and mountains 
98531e4793a74ad4b5322aeb66b4ef8b.jpg,a flower arrangement in a flower pot 
6aa845342d8f4dcd9d09fecb3b1987cf.jpg,a woman with a black shirt and a black tie 
f2d49d4c48704b99986f3e5147e1db08.jpg,three women walking down a street with their skateboards 
7292baddc6b947e6a7f7ca14ab66955f.jpg,a young girl standing in front of a blue sky 
9b1814451f7b4625b380a631abec3144.jpg,a large building with a clock tower 
7fafa2417e40428897503d190a7bc7b1.jpg,a brick wall with a brick wall and a brick wall 
947a136216ca4c47aaa64535cccbca44.jpg,a small airplane flying over a field of grass 
24125d3d17904f948c222133665f0a68.jpg,a young girl is standing in the woods with a cell phone 
ffdeb096571d40c4af0a1c607a73abe9.jpg,a person holding a peeled orange in their hand 
9746d523043d4ec2b4d400d79142d5ba.jpg,a man in a suit and tie posing for a picture 
2634fb8636c2481385fb8d70562b6a17.jpg,a bench sitting on top of a lush green field 
465df47bc0454e99a1bf8bbee65fc084.jpg,a man in a suit and tie posing for a picture 
920011cebec247a19941b338170f00c3.jpg,a horse statue is on a wooden bench 
c0ebba68b69745f3b2196d9fa5ab1062.jpg,a small plane flying through a cloudy sky 
36b71a034c064eb8bfe4caa337a0b9f8.jpg,a salad with vegetables and other vegetables on a plate 
6e947dd5b46c4ac7b780672e1b705300.jpg,a girl standing on a beach next to a wall 
9ce56b3f925b4fffbf55a64a661ddf2e.jpg,a table with a bunch of different colored objects 
941e6e8b61e441faa210f913c9e7391c.jpg,a tree filled with lots of green leaves 
708092eecd95417c9c9386a306c5e00d.jpg,a woman is smiling while holding a wii remote 
2bb297e8696e4d358bfaf97f877f53f0.jpg,a little boy standing on a railing holding a blue and white object 
ac9d8e55579a4eeb85977575c3985d31.jpg,a bowl of red and white beans 
428c492687494ef7b42b33889a61c914.jpg,a man in a green shirt and blue shorts playing a game of tennis 
e83205f1914844e99c9097c2f164dc36.jpg,a man in a suit talking on a cell phone 
