file_name,tagging_vitgpt2,florence_short,florence_long
5dec6d6e40bd4d6bb3016f05bef8c3ae.jpg,a baby sitting on a table with a toy ,A baby sitting on the floor playing with colorful toys.,"The image shows a baby sitting on the floor with a big smile on their
face. The baby is wearing a yellow t-shirt and green shorts. They are
sitting with their legs crossed and their arms stretched out to the
sides. In front of them, there are several colorful plastic toys
scattered around. The toys include a pink, orange, yellow, blue, and
green toy, a red toy, and a blue toy. The background is white and the
baby is looking directly at the camera."
5104d2b1073347a7acf5a7cc0d5e1d19.jpg,a woman holding a red and white teddy bear ,A woman in a red scarf and mittens blowing snow.,"The image shows a young woman with long brown hair, wearing a red
scarf and a white sweater. She is standing in front of a blue
background with white snowflakes falling around her. The woman is
holding a pair of red mittens in her left hand and is blowing
snowballs in the air with her right hand. She has a big smile on her
face and appears to be enjoying the moment. The overall mood of the
image is cheerful and festive."
f73e688021f04f128db6f1f399244d9b.jpg,a pink rose in a white vase with flowers ,A circle of pink roses with green leaves and red hearts.,"The image is a flat lay of a wreath made of pink roses. The roses are
arranged in a circular pattern, with the petals overlapping each
other. The leaves are dark green and have a glossy texture. There are
small red hearts scattered throughout the wreath, adding a pop of
color to the image. The background is white, making the pink roses
stand out."
20c657d94d5b4993a2e04879c8bdcf0d.jpg,a young woman standing next to a young girl ,A woman in a red dress holding hands with a man in a blue shirt.,"The image shows a young woman and a young man walking hand in hand in
a park. The woman is wearing a red off-the-shoulder top with ruffles
on the shoulders and has long brown hair. She is smiling and looking
at the camera. The man is also smiling and wearing a blue shirt and
green shorts. They are walking on a dirt path surrounded by trees and
bushes. The background is blurred, but it appears to be a sunny day."
7defda9553cd45c0aecad952d6eb8fa0.jpg,a table with a bunch of different colored flowers ,A bunch of yellow and red tulips next to an easter egg.,"The image is a flat lay of colorful Easter eggs and tulips on a white
background. There are two red eggs with white polka dots on them, one
on the left side of the image and the other on the right side. The
eggs are decorated with blue and yellow stripes and have small white
flowers on them. Next to the eggs, there is a small piece of brown
paper with a blank space for text or images. The tulips are yellow
with red and red stripes, and they are arranged in a scattered manner
around the eggs. The overall color scheme of the background is bright
and cheerful."
a12476ee5f4a43fc84efe9ddcb67114d.jpg,a slice of cake on a plate with a fork ,A white plate topped with a piece of cake covered in berries.,"The image shows a slice of cake on a white plate. The cake appears to
be a square cake with a golden brown crust and is topped with fresh
berries such as raspberries, blackberries, and blackberries. The
berries are arranged in a circular pattern on top of the cake, with
some of them overlapping each other. The plate is placed on a beige
textured surface, possibly a tablecloth or tablecloth. The overall
aesthetic of the image is rustic and appetizing."
06b7fe22f0b0481386bf6afe36a0ef2f.jpg,a yellow and orange are sitting on a table ,Three yellow balloons floating in the air on a white surface.,"The image shows three yellow balloons floating in the air. The
balloons are of different sizes and shapes, with the largest one in
the center and two smaller ones on either side. They are connected by
thin strings that are attached to the balloons. The background is
plain white, making the balloons the focal point of the image. The
image is a 3D rendering, giving it a realistic look and feel."
ca5aa312929e47d2a366a20baf5093c3.jpg,a number of kites flying in the sky ,A group of hot air balloons flying over a field.,"The image shows a group of hot air balloons flying over a vast green
field with mountains in the background. The sky is blue and the sun is
shining brightly, creating a beautiful contrast with the vibrant
colors of the balloons. The balloons are of different sizes and
colors, including red, orange, yellow, green, blue, and purple. The
field is surrounded by a wooden fence, and there are trees and shrubs
scattered throughout. The mountains are visible in the distance, with
snow-capped peaks. The overall mood of the image is peaceful and
serene."
5ba2637b597d4163a70131f93e2768be.jpg,a person is making a pizza in a kitchen ,A person rolling out a pastry with oranges on it.,"The image shows a person's hands rolling out a dough on a baking tray.
The dough appears to be freshly baked and is covered in powdered
sugar. There are several slices of orange on top of the dough, which
are arranged in a circular pattern. The person is wearing a green and
white checkered apron and is holding a rolling pin in their right
hand. In the background, there are various kitchen utensils and
ingredients scattered around the table. The overall mood of the image
is warm and inviting."
57a5f3237ea740718afff9e357ee7d02.jpg,a mountain range with a mountain range ,A mountain range with a cloudy sky in the background.,"The image is a landscape photograph of a mountain range at sunset. The
sky is a beautiful mix of orange, pink, and blue hues, with the sun
setting on the horizon. The mountains are silhouetted against the sky,
creating a stunning contrast between the warm colors of the sky and
the cool tones of the mountains. In the foreground, there is a large
mountain peak with a jagged, jagged edge. The peak is covered in
patches of snow and rocks, and the mountains in the background are
also covered in a layer of orange and yellow hues. The overall mood of
the image is peaceful and serene, with a sense of awe and wonder at
the beauty of nature."
d09e8246e2354d64acc014ba08f1bc46.jpg,a man is using a wrench to cut a wall ,A man using a trowel to paint a wall.,"In this image, we can see a young man working on a wall. He is wearing
a green t-shirt and white gloves and is holding a trowel in his right
hand. He appears to be in the process of applying plaster to the wall.
The wall is made of concrete and there is a window on the left side of
the image. The man is standing on a ladder and is focused on his work.
The image is taken from a low angle, looking up at the wall and the
man."
fb5a7d26cb424f8c93228e162130e19b.jpg,a bench on a grassy area near a body of water ,A wooden bench sitting on top of a lush green field.,"The image shows a grassy field with a wooden bench on the right side.
The bench is empty and appears to be made of wood. On the left side of
the image, there is a body of water, possibly a lake or a river. The
sky is blue with white clouds scattered across it. In the background,
there are trees and a few buildings visible. The grass is green and
well-maintained. The overall scene is peaceful and serene."
5bb4a492cffe4d87884a5bcd1ee5c90c.jpg,a lake with a bunch of flowers in it ,A lake surrounded by white flowers in the middle of a forest.,"The image is a beautiful landscape of a lake surrounded by lush
greenery. The lake is calm and still, reflecting the blue sky and the
surrounding trees. In the foreground, there are tall white flowers
with green leaves, adding a pop of color to the scene. The sky is a
bright blue with a few white clouds scattered across it. The overall
mood of the image is peaceful and serene."
f97e5a1f1b0541b48c56477fdb92ff31.jpg,a wooden box filled with lots of green apples ,A wooden box filled with green grapes on a table.,"The image shows a wooden crate filled with green grapes. The crate is
placed on a gray textured surface with a few leaves scattered around
it. The grapes are bunched together and appear to be fresh and ripe.
The leaves are a vibrant green color and are arranged in a way that
they are overlapping each other. The overall mood of the image is
fresh and natural."
6e447541e5de4458830c989632ccd188.jpg,a vase with flowers on a table ,A three tiered cake with flowers on top of it.,"The image is of a three-tiered cake on a white cake stand. The cake is
decorated with a marble-like pattern in shades of pink, white, and
brown. On top of the cake, there are two large pink roses with green
leaves and small white flowers. The flowers are arranged in a
symmetrical manner, with the top tier being slightly larger than the
bottom tier. The background is a gray wall with a subtle texture, and
there is a peach-colored cloth draped over the cake stand, adding a
pop of color to the image."
1111c75ff3c2420399ef3a35c64ac415.jpg,a doughnut with sprinkles on it sitting on a table ,A glass jar filled with lots of colorful donuts.,"The image shows a glass jar filled with colorful donuts. The jar is
placed on a gray surface with scattered sprinkles around it. The
donuts are of different sizes and colors, including pink, orange,
yellow, green, blue, and purple. Some of the donuts have sprinkles on
them, while others are plain. The background is a dark grey wall. The
overall mood of the image is playful and whimsical."
db9fb33240fa4cf9a89889b75349df38.jpg,three women wearing red and white are posing for a picture ,A family sitting on a couch holding presents.,"The image shows a family of four sitting on a white couch in a living
room. They are all wearing matching red and white Santa hats and are
holding red gift boxes with gold ribbons. The family is smiling and
looking at the camera. The background is a plain white wall. The
overall mood of the image is cheerful and festive."
e46362fc746d497d96c7863f21a8c4a5.jpg,"a sandwich with tomatoes, lettuce, and cheese ",A close up of a sandwich with meat and vegetables on it.,"The image shows a close-up of a plate of food. On the plate, there is
a piece of bread with a slice cut in half. The bread appears to be
toasted and has a golden brown crust. On top of the bread, there are
small pieces of sliced cucumber, cherry tomatoes, and microgreens
arranged in a circular pattern. The tomatoes are bright red and appear
to be ripe and juicy. The cucumber is cut into thin slices and is
placed in the center of the plate. There are also a few pieces of
bacon scattered around the plate in the background. The plate is white
and has an intricate design on it."
0a14a73f896a46009d545bd2b9960294.jpg,a woman holding a rainbow colored balloon in her hand ,A woman in a white dress holding a bunch of colorful balloons.,"The image shows a young woman with long blonde hair, wearing a white
dress, holding a bunch of colorful balloons. She is smiling and
looking up at the sky with a big smile on her face. The balloons are
of different sizes and colors, including pink, orange, yellow, green,
blue, and purple. The background is a light blue sky with wavy lines.
The overall mood of the image is cheerful and playful."
03d87b233c304ffbb03a5ed5958a1576.jpg,a number of colorful kites flying in the sky ,A group of hot air balloons flying in the sky.,"The image shows a group of hot air balloons flying in a clear blue
sky. There are nine balloons in total, all of which are brightly
colored - yellow, red, green, and orange. The balloons are of
different sizes and shapes, with some being larger than others. The
sky is a bright, clear blue and the sun is shining brightly, creating
a beautiful contrast with the vibrant colors of the balloons. The
image appears to be taken from a low angle, looking up at the balloons
as they soar through the air."
d14c4e6c44cf463cb77a6954091b6959.jpg,two girls are sitting at a table with laptops ,A group of students sitting at desks in a classroom.,"The image shows a group of students sitting at desks in a classroom.
There are three students in the image, two girls and one boy. The girl
on the left is wearing a red and white striped shirt and has long dark
hair. She is holding a yellow pencil and appears to be writing in a
notebook. The boy on the right is also writing in the notebook and has
his hand on his chin, as if he is deep in thought. The students are
focused on their work. The classroom has large windows in the
background, allowing natural light to enter."
574bdfcb4b434c5c87c4f0c28b0fa90a.jpg,a wooden bench in front of a building ,A rusty metal garage door on the side of a building.,"The image shows an old, rusted metal garage door. The door is closed
and appears to be old and weathered, with horizontal slats of metal
covering the entire surface. The metal is rusted and peeling, with
some areas of the door appearing to be chipped and discolored. The
floor is made of concrete and there are a few fallen leaves scattered
around the door. In the background, there is a concrete wall with a
small window on the right side. The overall mood of the image is one
of abandonment and neglect."
9ab7167032734f328a1c2b6a2d582b40.jpg,a table with a bunch of different colored balls ,A group of different types of sports balls on a wooden floor.,"The image shows three different types of sports balls on a wooden
surface. On the left side, there is a white volleyball, a basketball,
and a soccer ball. Next to the volleyball, there are two yellow tennis
balls and a white shuttlecock. The basketball is orange with black
stripes and the soccer ball is black and white. The shuttlecock is
white with a red handle. The background is a light-colored wood
surface."
3c516dc2a2934bcfa18f36d1c0b66c76.jpg,a woman holding a bowl of vegetables and a salad ,A woman holding a bowl of salad on top of a counter.,"The image shows a woman standing in a kitchen, holding a large glass
bowl filled with a salad. She is wearing a blue tank top and pink
pants. On the countertop, there are various vegetables such as
tomatoes, radishes, bell peppers, broccoli, and lemons. There is also
a glass pitcher of olive oil on the left side of the image. The
kitchen has white cabinets and a granite countertop."
c63245f3b2d84ef999793e7a6defae29.jpg,a bird standing on top of a rock near the ocean ,A seagull standing on a rock by the ocean.,"The image shows a seagull standing on a rock near the ocean. The bird
is facing towards the right side of the image and its body is slightly
tilted to the left. It has a black head and neck, with a white body
and wings. Its beak is yellow and orange, and it appears to be looking
towards the horizon. The ocean is a beautiful turquoise color, with
small waves crashing onto the shore. The sky is overcast and the
horizon is visible in the distance."
017872a7a23044a8b5b1061b04fcb42a.jpg,a pan of food on a table ,A pan filled with potatoes sitting on top of a wooden table.,"The image shows a black cast iron skillet filled with roasted potatoes
on a wooden table. The potatoes are golden brown and appear to be
seasoned with herbs and spices. The skillet is placed on a red and
white checkered napkin next to a wooden cutting board. There are also
a few garlic cloves, parsley, and a few salt and pepper shakers
scattered around the table. On the right side of the image, there are
two whole potatoes and a bunch of parsley. The background is blurred,
but it appears to be a rustic kitchen countertop."
0bac186a8b494b0ab51e5188d003bab5.jpg,a man holding a pair of hands while standing next to another man ,A group of business people putting their hands together.,"The image shows a group of four people, two men and two women,
standing in a circle with their hands stacked on top of each other.
They are all wearing formal business attire, with the man on the left
wearing a gray suit and the woman on the right wearing a blue suit.
The background is white, and the focus is on the hands of the people
in the center of the circle. The image conveys a sense of unity and
togetherness."
