file_name,tagging_vitgpt2
4afccb317564489cab6f7d70985fdba0.jpg,a tree with a bunch of white flowers in it 
dd696f3d76e84050a5050d9c80a0ec16.jpg,"a sign that says ""no parking"" on a pole "
e25114803e2e4b69bf1c0ec3eef96142.jpg,a woman in a blue shirt and a blue tie 
ce77214244834cf38e9be5edec8c3eea.jpg,a woman is putting on makeup on a woman 
e38172f9991448fe84ff8b09a4fbf51a.jpg,a young boy sitting on the grass eating something 
1907801e08ed462ab2a91e0d80870138.jpg,two girls and a boy sitting on a table with christmas decorations 
2e866070d346437b84d02aa1bf5a7dc9.jpg,a bowl of soup with a spoon on a table 
bb9c7a27f27e411682795ba93b301d05.jpg,a little girl in a dress standing in front of a box 
e6a7995cdb5d4c25aec62a8df5182ba9.jpg,a snowboarder is flying over a mountain range 
0fdcf5d798ae4a3c8effe05b26fb21ac.jpg,a city with a large building and a clock tower 
705c9f25ddd14ed3956c79e69dc8f120.jpg,a knife and some food on a wooden table 
dcc41c8257914e1f983a111b67faf3af.jpg,a plate of food with meat and vegetables 
fabd2b12706f403ea3a56528919411d3.jpg,a colorful striped umbrella sitting on top of a wooden table 
b751a0d0d80d44539117095e587d888d.jpg,a mountain range with a mountain range 
68a95f3b5ea14e8283d90dc6c58d053e.jpg,a red and white wall with a red and white stripe 
9a81617600a04b43a215b2cadb8e532a.jpg,a plate of food with meat and vegetables 
4ab2cfbafc9940beb0503a43521f726e.jpg,three young men are playing a game of tennis 
efdc29bae2ba4847aa23f5549ce3e89b.jpg,a girl wearing a christmas hat and holding a snowboard 
0b4750ab47754f509a0c1f7560e930f3.jpg,a woman and a man standing next to a wall 
777aa124b64d4cac9cda7d6a60850eb5.jpg,a cupcake with a cartoon character on it 
4f6d5fa158c443188118431a00121109.jpg,a teddy bear with a knife and a bag of candy 
735ae83b6c524fe1b36ad38bcb6d8116.jpg,a room with a door and a door way 
fcc84ab508ab4bf8854098ee9975aec0.jpg,a red and white wedding cake with a red ribbon 
c26f9186e2e942d0abad3ff7ae1a81be.jpg,a large brown and white fire hydrant in the middle of a field 
c8397876c1b14a7aa8fe6ccd6aa3f3a3.jpg,a woman in a blue dress standing in front of a wall 
73f89233e6e044c3b62dd540266ee944.jpg,a man sitting at a desk with a laptop 
be4065994e37434fa29947432127ad4d.jpg,a walkway with a bunch of plants growing on it 
fb9d55bc2a37448db5abd3ffcbd5dd0f.jpg,a pile of paper with a bunch of scissors on it 
b187535ef69846f9be8b70483003d183.jpg,a man and woman standing next to each other 
d3d13cb505dc4bb89f0dd8c6d1ebcf92.jpg,a woman standing in a kitchen with a bowl of fruit 
42cec73f18bd4204afe745308d2664ef.jpg,a mountain range with a mountain range 
8d14789fe4244e9b97f20a47d123135c.jpg,a woman reading a book while sitting at a table 
b536091b00e64cd7a7db478dc5b45edf.jpg,a pair of scissors sitting on top of a piece of paper 
826ba93df54141ff93421b67f4dd3796.jpg,a bed with a white comforter and pillows 
17dcdbe03bf54813a04f0b5c485ca5a9.jpg,a man and woman are eating at a table 
ccb476d7699642c9a72f06ee1e0118b9.jpg,a woman and a man sitting at a table 
3f1d00d1134d412f8ad996bccc5ab555.jpg,a vase filled with pink flowers on a table 
9325ff44971548578a320dc5de8cc228.jpg,a wooden door with a wooden handle and a green leafy plant 
6e61e3f89cff46ac9562188cca49ca62.jpg,a woman sitting on a couch reading a book 
bd1615afdcbe40dfb3a6c5d7798b0b4e.jpg,a bowl of food with meat and vegetables 
856dcf33011d4a02ad09f10396709738.jpg,a flower in a flower pot in a garden 
7f247ce775f34a06bbef0412341885df.jpg,a bowl filled with lots of green stuff 
efbdc9572e3041ed9d56bacc6e866d76.jpg,a man and woman playing a video game 
0328589d266b4fe49e04f778b9a160cf.jpg,two women are walking down the street with luggage 
64367cadddde46498364e7ec17047302.jpg,a small cup of coffee is on a table 
304644bd2732488897fabdac2eb6b344.jpg,a white building with a window and a black and white cat 
da31ef8df4c846e4ad8aacb61d921362.jpg,a pile of fake flowers sitting on top of a street 
957898f0eb60441e83ed3006eeb49831.jpg,a man sitting on a bench holding a cell phone 
ae4949919dd24e7b89e5485f2b036620.jpg,a beach with a bunch of snow on it 
ccd77854b610401889a76b427eea76c4.jpg,a pizza with tomatoes and cheese on a pan 
c8a3270b1e4d4ad3b7aefbe4e127b634.jpg,a large metal fence with a bunch of metal posts 
